category,/Comics & Animation Fans,/Gamers,/Gamers/Action Game Fans,/Gamers/Adventure & Strategy Game Fans,/Gamers/Casual & Social Gamers,/Gamers/Driving & Racing Game Fans,/Gamers/Hardcore Gamers,/Gamers/Roleplaying Game Fans,/Gamers/Shooter Game Fans,/Gamers/Sports Game Fans,/Green Living Enthusiasts,/Movie Lovers,/Movie Lovers/Action & Adventure Movie Fans,/Movie Lovers/Comedy Movie Fans,/Movie Lovers/Family Movie Fans,/Movie Lovers/Horror Movie Fans,/Movie Lovers/Romance & Drama Movie Fans,/Movie Lovers/Sci-Fi & Fantasy Movie Fans,/Movie Lovers/South Asian Film Fans,/Music Lovers,/Music Lovers/Blues Fans,/Music Lovers/Classical Music Enthusiasts,/Music Lovers/Country Music Fans,/Music Lovers/Electronica & Dance Music Fans,/Music Lovers/Folk & Traditional Music Enthusiasts,/Music Lovers/Indie & Alternative Rock Fans,/Music Lovers/Jazz Enthusiasts,/Music Lovers/Metalheads,/Music Lovers/Pop Music Fans,/Music Lovers/Rap & Hip Hop Fans,/Music Lovers/Rock Music Fans,/Music Lovers/Spanish-Language Music Fans,/Music Lovers/World Music Fans,/Nightlife Enthusiasts,/Outdoor Enthusiasts,/TV Lovers,/TV Lovers/Documentary & Nonfiction TV Fans,/TV Lovers/Family Television Fans,"/TV Lovers/Game, Reality & Talk Show Fans",/TV Lovers/Sci-Fi & Fantasy TV Fans,/TV Lovers/TV Comedy Fans,/TV Lovers/TV Drama Fans,/Technophiles,/Thrill Seekers
/Entertainment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Entertainment/Games,0.0,0.0,0.220288150562,0.194314340169,0.0,0.194314340169,0.0,0.220288150562,0.220288150562,0.220288150562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161713780663,0.0,0.0,0.0,0.0,0.0
/Entertainment/Games/Action games,0.0,0.0,0.465646219099,0.237739238575,0.0,0.237739238575,0.0,0.269517613246,0.269517613246,0.269517613246,0.0,0.0,0.0787446034559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19785318494,0.0,0.0,0.0,0.0,0.0
/Entertainment/Games/Board games,0.0,0.0,0.269517613246,0.237739238575,0.0,0.237739238575,0.0,0.269517613246,0.269517613246,0.269517613246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19785318494,0.0,0.0,0.0,0.0,0.0
/Entertainment/Games/Browser games,0.0,0.0,0.269517613246,0.237739238575,0.0,0.237739238575,0.0,0.269517613246,0.269517613246,0.269517613246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19785318494,0.0,0.0,0.0,0.0,0.0
/Entertainment/Games/Card games,0.0,0.0,0.269517613246,0.237739238575,0.0,0.237739238575,0.0,0.269517613246,0.269517613246,0.269517613246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19785318494,0.0,0.0,0.0,0.0,0.0
/Entertainment/Games/Casino games,0.0,0.0,0.269517613246,0.237739238575,0.0,0.237739238575,0.0,0.269517613246,0.269517613246,0.269517613246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19785318494,0.0,0.0,0.0,0.0,0.0
/Entertainment/Games/First-person shooter games,0.0,0.0,0.241213606675,0.212772510465,0.0,0.212772510465,0.0,0.241213606675,0.411065370983,0.241213606675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17707518168,0.0,0.0,0.0,0.0,0.0
/Entertainment/Games/Gambling,0.0,0.0,0.17077611319,0.150640184987,0.0,0.150640184987,0.0,0.17077611319,0.17077611319,0.17077611319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125366937987,0.0,0.0,0.0,0.0,0.0
/Entertainment/Games/Massively multiplayer online games,0.0,0.0,0.220288150562,0.194314340169,0.0,0.194314340169,0.0,0.220288150562,0.220288150562,0.220288150562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161713780663,0.0,0.0,0.0,0.0,0.0
/Entertainment/Games/Massively multiplayer online role-playing games,0.0,0.0,0.204007612999,0.179953413782,0.0,0.179953413782,0.0,0.204007612999,0.204007612999,0.204007612999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149762219611,0.0,0.0,0.0,0.0,0.0
/Entertainment/Games/Online games,0.0,0.0,0.269517613246,0.237739238575,0.0,0.237739238575,0.0,0.269517613246,0.269517613246,0.269517613246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19785318494,0.0,0.0,0.0,0.0,0.0
/Entertainment/Games/Online poker,0.0,0.0,0.144383555277,0.127359529795,0.0,0.127359529795,0.0,0.144383555277,0.144383555277,0.144383555277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105992131351,0.0,0.0,0.0,0.0,0.0
